Episode: 100/3000000 | Reward: -4.40 | Epsilon: 1.00 | Deliveries: 0 | Time: 74.0s
Episode: 200/3000000 | Reward: -4.29 | Epsilon: 1.00 | Deliveries: 0 | Time: 140.3s
Episode: 300/3000000 | Reward: -6.16 | Epsilon: 1.00 | Deliveries: 1 | Time: 205.2s
Episode: 400/3000000 | Reward: -4.92 | Epsilon: 1.00 | Deliveries: 0 | Time: 269.8s
Episode: 500/3000000 | Reward: -11.50 | Epsilon: 1.00 | Deliveries: 0 | Time: 334.6s
Episode: 600/3000000 | Reward: -5.59 | Epsilon: 1.00 | Deliveries: 0 | Time: 401.1s
Episode: 700/3000000 | Reward: -6.35 | Epsilon: 1.00 | Deliveries: 0 | Time: 471.2s
Episode: 800/3000000 | Reward: -4.86 | Epsilon: 1.00 | Deliveries: 0 | Time: 540.0s
Episode: 900/3000000 | Reward: -9.59 | Epsilon: 1.00 | Deliveries: 0 | Time: 609.6s
Episode: 1000/3000000 | Reward: -11.91 | Epsilon: 1.00 | Deliveries: 0 | Time: 679.4s
Episode: 1100/3000000 | Reward: -4.25 | Epsilon: 1.00 | Deliveries: 0 | Time: 767.0s
Episode: 1200/3000000 | Reward: -5.23 | Epsilon: 1.00 | Deliveries: 0 | Time: 862.0s
Episode: 1300/3000000 | Reward: -4.71 | Epsilon: 1.00 | Deliveries: 0 | Time: 953.4s
Episode: 1400/3000000 | Reward: -4.97 | Epsilon: 1.00 | Deliveries: 0 | Time: 1038.6s
Episode: 1500/3000000 | Reward: -5.18 | Epsilon: 1.00 | Deliveries: 0 | Time: 1129.7s
Episode: 1600/3000000 | Reward: -5.99 | Epsilon: 1.00 | Deliveries: 0 | Time: 1222.1s
Episode: 1700/3000000 | Reward: -4.91 | Epsilon: 1.00 | Deliveries: 0 | Time: 1308.9s
Episode: 1800/3000000 | Reward: -5.23 | Epsilon: 1.00 | Deliveries: 1 | Time: 1388.4s
Episode: 1900/3000000 | Reward: -7.24 | Epsilon: 1.00 | Deliveries: 0 | Time: 1469.2s
Episode: 2000/3000000 | Reward: -6.64 | Epsilon: 1.00 | Deliveries: 0 | Time: 1551.1s
