episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
0,500,0.0,-12.525,-0.02505,-8.6,-3.925
1,500,0.0,-7.025,-0.01405,-3.6,-3.425
2,500,0.0,-3.7,-0.0074,-1.4,-2.3
3,500,0.0,-2.75,-0.0055,-1.275,-1.475
4,500,0.0,-4.275,-0.00855,-1.875,-2.4
5,500,0.0,-0.975,-0.00195,-0.95,-0.025
6,500,0.0,-5.625,-0.01125,-3.475,-2.15
7,500,0.0,-4.375,-0.00875,-3.3,-1.075
8,500,0.0,-5.2,-0.0104,-3.425,-1.775
9,500,0.0,-4.1,-0.0082,-1.475,-2.625
10,500,0.0,-3.1,-0.0062,-1.575,-1.525
11,500,0.0,-6.4,-0.0128,-5.225,-1.175
12,500,0.0,-3.325,-0.00665,-1.8,-1.525
13,500,0.0,-3.05,-0.0061,-2.175,-0.875
14,500,0.0,-2.625,-0.00525,-1.2,-1.425
15,500,0.0,-4.975,-0.00995,-2.1,-2.875
16,500,0.0,-5.725,-0.01145,-2.725,-3.0
17,500,0.0,-3.55,-0.0071,-1.7,-1.85
18,500,0.0,-2.4,-0.0048,-1.0,-1.4
19,500,0.0,-2.325,-0.00465,-0.8,-1.525
20,500,0.0,-3.975,-0.00795,-1.625,-2.35
21,500,0.0,-7.35,-0.0147,-5.7,-1.65
22,500,0.0,-4.225,-0.00845,-1.375,-2.85
23,500,0.0,-2.7,-0.0054,-1.525,-1.175
24,500,0.0,-7.65,-0.0153,-6.55,-1.1
25,500,0.0,-5.625,-0.01125,-1.725,-3.9
26,500,0.0,-2.0,-0.004,-0.575,-1.425
27,500,0.0,-3.55,-0.0071,-2.25,-1.3
28,500,0.0,-2.0,-0.004,-0.7,-1.3
29,500,0.0,-2.7,-0.0054,-1.2,-1.5
30,500,0.0,-1.95,-0.0039,-1.475,-0.475
31,500,0.0,-3.6,-0.0072,-2.95,-0.65
32,500,0.0,-5.175,-0.01035,-1.075,-4.1
33,500,0.0,-2.4,-0.0048,-1.925,-0.475
34,500,0.0,-2.825,-0.00565,-0.75,-2.075
35,500,0.0,0.525,0.00105,-1.3,1.825
36,500,0.0,-4.2,-0.0084,-2.275,-1.925
37,500,0.0,-2.425,-0.00485,-1.15,-1.275
38,500,0.0,-3.0,-0.006,-1.575,-1.425
39,500,0.0,-5.025,-0.01005,-1.575,-3.45
40,500,0.0,-2.025,-0.00405,-2.425,0.4
41,500,0.0,0.175,0.00035,-1.575,1.75
42,500,0.0,-1.975,-0.00395,-0.725,-1.25
43,500,0.0,-1.05,-0.0021,-0.125,-0.925
44,500,0.0,-2.525,-0.00505,-1.375,-1.15
45,500,0.0,-5.925,-0.01185,-4.575,-1.35
46,500,0.0,-6.625,-0.01325,-2.35,-4.275
47,500,0.0,-3.65,-0.0073,-0.7,-2.95
48,500,0.0,-3.45,-0.0069,-1.6,-1.85
49,500,0.0,-5.75,-0.0115,-2.775,-2.975
50,500,0.0,-2.15,-0.0043,-1.5,-0.65
51,500,0.0,-0.775,-0.00155,-0.25,-0.525
52,500,0.0,-3.225,-0.00645,-0.725,-2.5
53,500,0.0,-4.025,-0.00805,-2.175,-1.85
54,500,0.0,-5.925,-0.01185,-3.15,-2.775
55,500,0.0,-5.525,-0.01105,-1.35,-4.175
56,500,0.0,-3.675,-0.00735,-1.725,-1.95
57,500,0.0,-3.925,-0.00785,-2.975,-0.95
