episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
0,500,0.0,0.0,0.0,0.0,0.0
1,500,0.0,0.0,0.0,0.0,0.0
2,500,0.0,0.0,0.0,0.0,0.0
3,500,0.0,0.0,0.0,0.0,0.0
4,500,0.0,0.0,0.0,0.0,0.0
5,500,0.0,0.0,0.0,0.0,0.0
6,500,0.0,0.0,0.0,0.0,0.0
7,500,0.0,0.0,0.0,0.0,0.0
8,500,0.0,0.0,0.0,0.0,0.0
9,500,0.0,0.0,0.0,0.0,0.0
10,500,0.0,0.0,0.0,0.0,0.0
11,500,0.0,0.0,0.0,0.0,0.0
12,500,0.0,0.0,0.0,0.0,0.0
13,500,0.0,0.0,0.0,0.0,0.0
14,500,0.0,0.0,0.0,0.0,0.0
15,500,0.0,0.0,0.0,0.0,0.0
16,500,0.0,0.0,0.0,0.0,0.0
17,500,0.0,0.0,0.0,0.0,0.0
18,500,0.0,0.0,0.0,0.0,0.0
19,500,0.0,0.0,0.0,0.0,0.0
20,500,0.0,0.0,0.0,0.0,0.0
21,500,0.0,0.0,0.0,0.0,0.0
22,500,0.0,0.0,0.0,0.0,0.0
23,500,0.0,0.0,0.0,0.0,0.0
24,500,0.0,0.0,0.0,0.0,0.0
25,500,0.0,0.0,0.0,0.0,0.0
26,500,0.0,0.0,0.0,0.0,0.0
27,500,0.0,0.0,0.0,0.0,0.0
28,500,0.0,0.0,0.0,0.0,0.0
29,500,0.0,0.0,0.0,0.0,0.0
30,500,0.0,0.0,0.0,0.0,0.0
31,500,0.0,0.0,0.0,0.0,0.0
32,500,0.0,0.0,0.0,0.0,0.0
33,500,0.0,0.0,0.0,0.0,0.0
34,500,0.0,0.0,0.0,0.0,0.0
35,500,0.0,0.0,0.0,0.0,0.0
36,500,0.0,0.0,0.0,0.0,0.0
37,500,0.0,0.0,0.0,0.0,0.0
38,500,0.0,0.0,0.0,0.0,0.0
39,500,0.0,0.0,0.0,0.0,0.0
40,500,0.0,0.0,0.0,0.0,0.0
41,500,0.0,0.0,0.0,0.0,0.0
42,500,0.0,0.0,0.0,0.0,0.0
43,500,0.0,0.0,0.0,0.0,0.0
44,500,0.0,0.0,0.0,0.0,0.0
45,500,0.0,0.0,0.0,0.0,0.0
46,500,0.0,0.0,0.0,0.0,0.0
47,500,0.0,0.0,0.0,0.0,0.0
48,500,0.0,0.0,0.0,0.0,0.0
49,500,0.0,0.0,0.0,0.0,0.0
50,500,0.0,0.0,0.0,0.0,0.0
51,500,0.0,0.0,0.0,0.0,0.0
52,500,0.0,0.0,0.0,0.0,0.0
53,500,0.0,0.0,0.0,0.0,0.0
54,500,0.0,0.0,0.0,0.0,0.0
55,500,0.0,1.0,0.002,1.0,0.0
56,500,0.0,0.0,0.0,0.0,0.0
57,500,0.0,0.0,0.0,0.0,0.0
58,500,0.0,0.0,0.0,0.0,0.0
59,500,0.0,0.0,0.0,0.0,0.0
60,500,0.0,0.0,0.0,0.0,0.0
61,500,0.0,0.0,0.0,0.0,0.0
62,500,0.0,1.0,0.002,0.0,1.0
63,500,0.0,0.0,0.0,0.0,0.0
64,500,0.0,0.0,0.0,0.0,0.0
65,500,0.0,0.0,0.0,0.0,0.0
66,500,0.0,0.0,0.0,0.0,0.0
67,500,0.0,1.0,0.002,1.0,0.0
68,500,0.0,0.0,0.0,0.0,0.0
69,500,0.0,0.0,0.0,0.0,0.0
70,500,0.0,0.0,0.0,0.0,0.0
71,500,0.0,0.0,0.0,0.0,0.0
72,500,0.0,0.0,0.0,0.0,0.0
73,500,0.0,0.0,0.0,0.0,0.0
74,500,0.0,0.0,0.0,0.0,0.0
75,500,0.0,0.0,0.0,0.0,0.0
76,500,0.0,0.0,0.0,0.0,0.0
77,500,0.0,0.0,0.0,0.0,0.0
78,500,0.0,0.0,0.0,0.0,0.0
79,500,0.0,0.0,0.0,0.0,0.0
80,500,0.0,0.0,0.0,0.0,0.0
81,500,0.0,0.0,0.0,0.0,0.0
82,500,0.0,0.0,0.0,0.0,0.0
83,500,0.0,0.0,0.0,0.0,0.0
84,500,0.0,0.0,0.0,0.0,0.0
85,500,0.0,0.0,0.0,0.0,0.0
86,500,0.0,0.0,0.0,0.0,0.0
87,500,0.0,0.0,0.0,0.0,0.0
88,500,0.0,0.0,0.0,0.0,0.0
89,500,0.0,0.0,0.0,0.0,0.0
90,500,0.0,0.0,0.0,0.0,0.0
91,500,0.0,0.0,0.0,0.0,0.0
92,500,0.0,0.0,0.0,0.0,0.0
93,500,0.0,0.0,0.0,0.0,0.0
94,500,0.0,0.0,0.0,0.0,0.0
95,500,0.0,0.0,0.0,0.0,0.0
96,500,0.0,0.0,0.0,0.0,0.0
97,500,0.0,0.0,0.0,0.0,0.0
98,500,0.0,0.0,0.0,0.0,0.0
99,500,0.0,0.0,0.0,0.0,0.0
100,500,0.0,0.0,0.0,0.0,0.0
101,500,0.0,0.0,0.0,0.0,0.0
102,500,0.0,0.0,0.0,0.0,0.0
103,500,0.0,0.0,0.0,0.0,0.0
104,500,0.0,0.0,0.0,0.0,0.0
105,500,0.0,0.0,0.0,0.0,0.0
106,500,0.0,0.0,0.0,0.0,0.0
107,500,0.0,0.0,0.0,0.0,0.0
108,500,0.0,0.0,0.0,0.0,0.0
109,500,0.0,0.0,0.0,0.0,0.0
110,500,0.0,0.0,0.0,0.0,0.0
111,500,0.0,0.0,0.0,0.0,0.0
112,500,0.0,0.0,0.0,0.0,0.0
113,500,0.0,1.0,0.002,1.0,0.0
114,500,0.0,0.0,0.0,0.0,0.0
115,500,0.0,0.0,0.0,0.0,0.0
116,500,0.0,0.0,0.0,0.0,0.0
117,500,0.0,0.0,0.0,0.0,0.0
118,500,0.0,0.0,0.0,0.0,0.0
119,500,0.0,0.0,0.0,0.0,0.0
120,500,0.0,0.0,0.0,0.0,0.0
121,500,0.0,0.0,0.0,0.0,0.0
122,500,0.0,0.0,0.0,0.0,0.0
123,500,0.0,0.0,0.0,0.0,0.0
124,500,0.0,0.0,0.0,0.0,0.0
125,500,0.0,0.0,0.0,0.0,0.0
126,500,0.0,0.0,0.0,0.0,0.0
127,500,0.0,0.0,0.0,0.0,0.0
128,500,0.0,0.0,0.0,0.0,0.0
129,500,0.0,0.0,0.0,0.0,0.0
130,500,0.0,0.0,0.0,0.0,0.0
131,500,0.0,0.0,0.0,0.0,0.0
132,500,0.0,0.0,0.0,0.0,0.0
133,500,0.0,0.0,0.0,0.0,0.0
134,500,0.0,0.0,0.0,0.0,0.0
135,500,0.0,0.0,0.0,0.0,0.0
136,500,0.0,0.0,0.0,0.0,0.0
137,500,0.0,0.0,0.0,0.0,0.0
138,500,0.0,1.0,0.002,1.0,0.0
139,500,0.0,0.0,0.0,0.0,0.0
140,500,0.0,0.0,0.0,0.0,0.0
141,500,0.0,0.0,0.0,0.0,0.0
142,500,0.0,0.0,0.0,0.0,0.0
143,500,0.0,0.0,0.0,0.0,0.0
144,500,0.0,0.0,0.0,0.0,0.0
145,500,0.0,0.0,0.0,0.0,0.0
146,500,0.0,0.0,0.0,0.0,0.0
147,500,0.0,0.0,0.0,0.0,0.0
148,500,0.0,1.0,0.002,0.0,1.0
149,500,0.0,0.0,0.0,0.0,0.0
150,500,0.0,0.0,0.0,0.0,0.0
151,500,0.0,0.0,0.0,0.0,0.0
152,500,0.0,0.0,0.0,0.0,0.0
153,500,0.0,0.0,0.0,0.0,0.0
154,500,0.0,1.0,0.002,1.0,0.0
155,500,0.0,0.0,0.0,0.0,0.0
156,500,0.0,0.0,0.0,0.0,0.0
157,500,0.0,0.0,0.0,0.0,0.0
158,500,0.0,0.0,0.0,0.0,0.0
159,500,0.0,0.0,0.0,0.0,0.0
160,500,0.0,0.0,0.0,0.0,0.0
161,500,0.0,0.0,0.0,0.0,0.0
162,500,0.0,0.0,0.0,0.0,0.0
163,500,0.0,0.0,0.0,0.0,0.0
164,500,0.0,0.0,0.0,0.0,0.0
165,500,0.0,0.0,0.0,0.0,0.0
166,500,0.0,0.0,0.0,0.0,0.0
167,500,0.0,0.0,0.0,0.0,0.0
168,500,0.0,0.0,0.0,0.0,0.0
169,500,0.0,0.0,0.0,0.0,0.0
170,500,0.0,0.0,0.0,0.0,0.0
171,500,0.0,0.0,0.0,0.0,0.0
172,500,0.0,0.0,0.0,0.0,0.0
173,500,0.0,0.0,0.0,0.0,0.0
174,500,0.0,0.0,0.0,0.0,0.0
175,500,0.0,0.0,0.0,0.0,0.0
176,500,0.0,0.0,0.0,0.0,0.0
177,500,0.0,0.0,0.0,0.0,0.0
178,500,0.0,1.0,0.002,0.0,1.0
179,500,0.0,0.0,0.0,0.0,0.0
180,500,0.0,0.0,0.0,0.0,0.0
181,500,0.0,1.0,0.002,1.0,0.0
182,500,0.0,0.0,0.0,0.0,0.0
183,500,0.0,0.0,0.0,0.0,0.0
