episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
0,500,0.0,-19.16,-0.03832,-8.29,-2.88,-2.49,-5.5
1,500,0.0,-29.485,-0.05897,-1.865,-5.505,-16.13,-5.985
2,500,0.0,-26.615,-0.05323,-8.71,-10.735,-2.215,-4.955
3,500,0.0,-12.735,-0.02547,-3.19,-4.45,-2.92,-2.175
4,500,0.0,-13.155,-0.02631,-1.93,-2.395,-2.845,-5.985
5,500,0.0,-7.29,-0.01458,-3.27,-1.97,-1.895,-0.155
6,500,0.0,-8.61,-0.01722,-1.75,-3.325,-1.705,-1.83
7,500,0.0,-5.765,-0.01153,-1.41,-2.235,-0.76,-1.36
8,500,0.0,-3.8,-0.0076,1.32,-2.475,-1.24,-1.405
9,500,0.0,-8.63,-0.01726,-3.505,-3.4,-0.92,-0.805
10,500,0.0,-9.815,-0.01963,-0.96,-6.095,-0.81,-1.95
11,500,0.0,-2.47,-0.00494,-1.445,-1.765,1.535,-0.795
12,500,0.0,-3.725,-0.00745,-0.765,-0.795,-1.35,-0.815
13,500,0.0,-5.82,-0.01164,-1.71,-1.39,-1.915,-0.805
14,500,0.0,-3.905,-0.00781,-1.34,-0.855,-0.875,-0.835
15,500,0.0,-5.865,-0.01173,-2.28,-0.89,-1.86,-0.835
16,500,0.0,-4.03,-0.00806,-1.135,-0.795,-1.32,-0.78
17,500,0.0,-3.92,-0.00784,-0.945,-0.77,-0.82,-1.385
18,500,0.0,-4.07,-0.00814,-1.365,-0.785,-0.89,-1.03
19,500,0.0,-4.14,-0.00828,-1.41,-1.185,-0.74,-0.805
20,500,0.0,-4.34,-0.00868,-1.36,-0.82,-1.255,-0.905
21,500,0.0,-6.72,-0.01344,-1.915,-1.895,-1.4,-1.51
22,500,0.0,-5.49,-0.01098,-0.75,-1.86,-1.6,-1.28
23,500,0.0,-5.495,-0.01099,-1.41,-0.91,-0.835,-2.34
24,500,0.0,-5.025,-0.01005,-1.39,-0.9,-1.38,-1.355
25,500,0.0,-9.875,-0.01975,-0.785,-6.425,-1.875,-0.79
26,500,0.0,-3.105,-0.00621,-0.745,-0.8,-0.81,-0.75
27,500,0.0,-7.845,-0.01569,-1.7,-2.855,-1.285,-2.005
28,500,0.0,-6.31,-0.01262,-0.935,-3.33,-0.77,-1.275
29,500,0.0,-4.89,-0.00978,-1.3,-1.37,-1.42,-0.8
30,500,0.0,-4.625,-0.00925,-1.24,-1.355,-0.765,-1.265
31,500,0.0,-4.81,-0.00962,-0.81,-0.785,-2.315,-0.9
32,500,0.0,-5.91,-0.01182,-2.315,-0.93,-1.765,-0.9
33,500,0.0,-4.37,-0.00874,-0.865,-1.325,-0.83,-1.35
34,500,0.0,-7.925,-0.01585,-2.915,-1.325,-1.37,-2.315
35,500,0.0,-4.855,-0.00971,-0.795,-1.76,-1.505,-0.795
36,500,0.0,-7.975,-0.01595,-1.395,-3.91,-0.93,-1.74
37,500,0.0,-16.52,-0.03304,-1.965,-1.335,-1.36,-11.86
38,500,0.0,-4.48,-0.00896,-0.8,-0.915,-1.88,-0.885
39,500,0.0,-4.08,-0.00816,-1.375,-0.815,-0.93,-0.96
40,500,0.0,-4.045,-0.00809,-1.385,-0.935,-0.825,-0.9
41,500,0.0,-3.385,-0.00677,-0.89,-0.86,-0.89,-0.745
42,500,0.0,-6.04,-0.01208,-2.34,-0.9,-1.39,-1.41
43,500,0.0,-3.835,-0.00767,-0.78,-1.36,-0.78,-0.915
44,500,0.0,-3.2,-0.0064,-0.835,-0.76,-0.765,-0.84
45,500,0.0,-4.805,-0.00961,-0.775,-0.79,-2.35,-0.89
46,500,0.0,-4.305,-0.00861,-0.9,-1.82,-0.78,-0.805
47,500,0.0,-3.85,-0.0077,-0.875,-0.805,-1.355,-0.815
48,500,0.0,-3.44,-0.00688,-0.85,-0.91,-0.81,-0.87
49,500,0.0,-4.315,-0.00863,-1.75,-0.73,-0.92,-0.915
50,500,0.0,-3.915,-0.00783,-0.835,-0.845,-0.84,-1.395
51,500,0.0,-5.32,-0.01064,-0.795,-0.82,-1.865,-1.84
52,500,0.0,-3.195,-0.00639,-0.73,-0.85,-0.8,-0.815
53,500,0.0,-6.485,-0.01297,-1.395,-1.87,-0.855,-2.365
54,500,0.0,-6.625,-0.01325,-0.825,-0.75,-3.635,-1.415
55,500,0.0,-1.145,-0.00229,-1.37,1.73,-0.82,-0.685
56,500,0.0,-8.98,-0.01796,-1.3,-6.09,-0.775,-0.815
57,500,0.0,-3.475,-0.00695,-0.9,-0.88,-0.795,-0.9
58,500,0.0,-4.52,-0.00904,-0.82,-1.375,-0.8,-1.525
59,500,0.0,-4.07,-0.00814,-0.82,-1.535,-0.855,-0.86
60,500,0.0,-3.335,-0.00667,-0.825,-0.795,-0.9,-0.815
61,500,0.0,-4.91,-0.00982,-0.79,-2.315,-0.96,-0.845
62,500,0.0,-3.32,-0.00664,-0.885,-0.85,-0.86,-0.725
63,500,0.0,-3.8,-0.0076,-0.83,-0.81,-1.3,-0.86
64,500,0.0,-4.395,-0.00879,-1.315,-1.26,-1.02,-0.8
65,500,0.0,-6.735,-0.01347,-2.295,-0.84,-1.86,-1.74
66,500,0.0,-4.57,-0.00914,-0.81,-1.875,-0.77,-1.115
67,500,0.0,-5.385,-0.01077,-2.355,-0.84,-0.87,-1.32
68,500,0.0,-4.81,-0.00962,-1.385,-1.365,-0.78,-1.28
69,500,0.0,-4.915,-0.00983,-0.945,-0.795,-1.72,-1.455
70,500,0.0,-3.995,-0.00799,-0.89,-0.91,-0.785,-1.41
71,500,0.0,-7.475,-0.01495,-1.45,-0.765,-2.9,-2.36
72,500,0.0,-4.955,-0.00991,-0.935,-1.405,-1.755,-0.86
73,500,0.0,-4.88,-0.00976,-1.43,-1.315,-1.36,-0.775
74,500,0.0,-5.69,-0.01138,-1.59,-1.405,-1.285,-1.41
75,500,0.0,-3.965,-0.00793,-0.865,-0.88,-1.395,-0.825
76,500,0.0,-4.715,-0.00943,-0.92,-0.94,-1.9,-0.955
77,500,0.0,-4.375,-0.00875,-0.86,-1.665,-0.94,-0.91
78,500,0.0,-4.11,-0.00822,-0.745,-0.935,-0.905,-1.525
79,500,0.0,-3.86,-0.00772,-0.82,-0.83,-1.385,-0.825
80,500,0.0,-7.11,-0.01422,-1.39,-1.43,-1.365,-2.925
81,500,0.0,-5.545,-0.01109,-0.79,-0.84,-0.875,-3.04
82,500,0.0,-4.3,-0.0086,-1.82,-0.805,-0.865,-0.81
83,500,0.0,-3.8,-0.0076,-0.805,-0.875,-1.39,-0.73
84,500,0.0,-5.69,-0.01138,-0.7,-3.35,-0.8,-0.84
85,500,0.0,-0.97,-0.00194,-1.355,-0.84,-0.79,2.015
86,500,0.0,-5.7,-0.0114,-0.85,-0.76,-0.845,-3.245
87,500,0.0,-3.355,-0.00671,-0.79,-0.875,-0.815,-0.875
88,500,0.0,-14.85,-0.0297,-11.205,-1.42,-1.4,-0.825
89,500,0.0,-4.42,-0.00884,-1.27,-0.83,-1.385,-0.935
90,500,0.0,-3.285,-0.00657,-0.815,-0.805,-0.865,-0.8
91,500,0.0,-8.06,-0.01612,-1.385,-4.955,-0.85,-0.87
92,500,0.0,-5.22,-0.01044,-2.335,-1.235,-0.795,-0.855
93,500,0.0,-4.295,-0.00859,-1.335,-0.8,-0.825,-1.335
94,500,0.0,-3.96,-0.00792,-0.885,-1.375,-0.83,-0.87
95,500,0.0,-5.85,-0.0117,-0.875,-0.935,-0.795,-3.245
96,500,0.0,-4.845,-0.00969,-1.77,-1.38,-0.86,-0.835
97,500,0.0,-3.335,-0.00667,-0.8,-0.855,-0.85,-0.83
98,500,0.0,-3.065,-0.00613,-0.87,-0.78,-0.7,-0.715
99,500,0.0,-3.32,-0.00664,-0.795,-0.77,-0.87,-0.885
100,500,0.0,-4.175,-0.00835,-0.79,-1.335,-1.265,-0.785
101,500,0.0,-4.75,-0.0095,-1.82,-0.82,-1.33,-0.78
102,500,0.0,-7.165,-0.01433,-1.33,-2.31,-0.825,-2.7
103,500,0.0,-4.125,-0.00825,-1.335,-0.84,-0.77,-1.18
104,500,0.0,-3.75,-0.0075,-0.875,-0.715,-0.855,-1.305
105,500,0.0,-3.315,-0.00663,-0.855,-0.8,-0.835,-0.825
106,500,0.0,-3.755,-0.00751,-0.8,-1.3,-0.79,-0.865
107,500,0.0,-3.655,-0.00731,-0.81,-1.32,-0.785,-0.74
108,500,0.0,-4.805,-0.00961,-1.89,-1.32,-0.75,-0.845
109,500,0.0,-4.74,-0.00948,-0.84,-1.675,-0.795,-1.43
110,500,0.0,-4.32,-0.00864,-0.795,-0.86,-1.81,-0.855
111,500,0.0,-4.79,-0.00958,-1.92,0.245,-0.81,-2.305
112,500,0.0,-4.19,-0.00838,-1.32,-0.85,-0.89,-1.13
113,500,0.0,-4.99,-0.00998,-2.385,-0.88,-0.84,-0.885
114,500,0.0,-4.83,-0.00966,-0.85,-0.855,-1.36,-1.765
115,500,0.0,-4.89,-0.00978,-2.335,-0.915,-0.79,-0.85
116,500,0.0,-3.845,-0.00769,-1.3,-0.875,-0.78,-0.89
117,500,0.0,-3.275,-0.00655,-0.83,-0.815,-0.78,-0.85
118,500,0.0,-3.78,-0.00756,-0.835,-0.74,-0.83,-1.375
119,500,0.0,-3.915,-0.00783,-0.89,-0.715,-1.405,-0.905
120,500,0.0,-5.675,-0.01135,-2.225,-1.4,-0.82,-1.23
121,500,0.0,-3.23,-0.00646,-0.895,-0.73,-0.79,-0.815
122,500,0.0,-4.935,-0.00987,-1.95,-0.8,-0.92,-1.265
123,500,0.0,-8.7,-0.0174,-0.77,-4.935,-1.855,-1.14
124,500,0.0,-4.315,-0.00863,-1.355,-1.39,-0.745,-0.825
125,500,0.0,-2.94,-0.00588,-0.715,-0.745,-0.75,-0.73
126,500,0.0,-3.305,-0.00661,-0.84,-0.82,-0.805,-0.84
127,500,0.0,-4.255,-0.00851,-0.81,-0.795,-1.87,-0.78
128,500,0.0,-3.56,-0.00712,-0.75,-1.23,-0.75,-0.83
129,500,0.0,-3.925,-0.00785,-0.8,-0.78,-1.19,-1.155
130,500,0.0,-4.82,-0.00964,-2.56,-0.595,-0.825,-0.84
131,500,0.0,-3.565,-0.00713,-1.275,-0.775,-0.775,-0.74
132,500,0.0,-3.12,-0.00624,-0.77,-0.855,-0.755,-0.74
133,500,0.0,-6.12,-0.01224,-1.82,-1.905,-1.29,-1.105
134,500,0.0,-6.775,-0.01355,-0.76,-0.78,-4.46,-0.775
135,500,0.0,-8.02,-0.01604,-1.41,-1.28,-0.715,-4.615
136,500,0.0,-3.41,-0.00682,-0.675,-0.655,-1.265,-0.815
137,500,0.0,-5.885,-0.01177,-1.855,-0.765,-0.835,-2.43
138,500,0.0,-5.46,-0.01092,-1.22,-1.175,-2.255,-0.81
