episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
0,500,0.0,4.0,0.008,1.5,0.5,1.5,0.5
1,500,0.0,9.0,0.018,0.5,1.0,5.5,2.0
2,500,0.0,11.5,0.023,3.5,2.0,3.0,3.0
3,500,0.0,8.0,0.016,1.0,2.5,3.0,1.5
4,500,0.0,7.5,0.015,1.5,1.0,4.5,0.5
5,500,0.0,6.0,0.012,2.0,3.0,0.0,1.0
6,500,0.0,4.5,0.009,0.5,1.5,1.5,1.0
7,500,0.0,7.0,0.014,2.0,3.5,0.5,1.0
8,500,0.0,8.0,0.016,1.5,0.5,3.5,2.5
9,500,0.0,10.0,0.02,4.0,0.5,5.0,0.5
10,500,0.0,6.5,0.013,2.0,2.0,2.0,0.5
11,500,0.0,10.5,0.021,5.5,0.5,1.0,3.5
12,500,0.0,8.5,0.017,4.5,1.5,1.0,1.5
13,500,0.0,9.5,0.019,1.0,3.5,2.5,2.5
14,500,0.0,11.0,0.022,3.5,3.5,1.5,2.5
15,500,0.0,14.0,0.028,2.5,4.0,4.5,3.0
16,500,0.0,6.0,0.012,0.5,2.5,2.0,1.0
17,500,0.0,12.0,0.024,2.5,4.5,1.0,4.0
18,500,0.0,3.0,0.006,1.5,0.0,0.5,1.0
19,500,0.0,12.0,0.024,3.0,4.0,2.0,3.0
20,500,0.0,9.5,0.019,0.5,4.5,1.5,3.0
21,500,0.0,7.0,0.014,0.5,1.0,3.0,2.5
22,500,0.0,8.0,0.016,2.5,0.5,2.0,3.0
23,500,0.0,5.5,0.011,0.5,2.0,2.0,1.0
24,500,0.0,8.5,0.017,1.0,3.5,1.0,3.0
25,500,0.0,8.5,0.017,2.0,0.5,4.0,2.0
26,500,0.0,6.0,0.012,1.0,1.5,2.0,1.5
27,500,0.0,8.5,0.017,5.0,2.5,0.5,0.5
28,500,0.0,14.0,0.028,5.0,3.5,5.0,0.5
29,500,0.0,10.5,0.021,2.5,3.0,3.0,2.0
30,500,0.0,10.5,0.021,2.0,1.0,4.0,3.5
31,500,0.0,7.0,0.014,2.0,2.0,1.0,2.0
32,500,0.0,6.0,0.012,0.5,2.0,2.5,1.0
33,500,0.0,8.0,0.016,5.0,0.5,0.0,2.5
34,500,0.0,14.0,0.028,4.0,0.5,5.0,4.5
35,500,0.0,10.0,0.02,0.5,3.5,2.0,4.0
36,500,0.0,8.0,0.016,1.5,1.0,1.5,4.0
37,500,0.0,14.5,0.029,3.5,6.0,3.0,2.0
38,500,0.0,7.0,0.014,2.0,1.5,2.5,1.0
39,500,0.0,10.0,0.02,1.0,2.5,4.0,2.5
40,500,0.0,7.0,0.014,1.5,4.0,0.5,1.0
41,500,0.0,3.5,0.007,0.5,0.5,1.5,1.0
42,500,0.0,9.5,0.019,3.5,3.0,2.5,0.5
43,500,0.0,4.5,0.009,1.0,0.5,2.5,0.5
44,500,0.0,10.0,0.02,2.5,2.5,3.0,2.0
45,500,0.0,15.0,0.03,3.0,4.5,6.5,1.0
46,500,0.0,8.5,0.017,1.5,0.5,5.0,1.5
47,500,0.0,11.5,0.023,3.0,4.5,1.5,2.5
48,500,0.0,12.5,0.025,2.5,1.5,3.5,5.0
49,500,0.0,9.0,0.018,1.0,0.5,4.0,3.5
50,500,0.0,7.5,0.015,1.0,1.0,1.5,4.0
51,500,0.0,6.5,0.013,1.0,0.5,2.5,2.5
52,500,0.0,5.5,0.011,1.5,1.0,2.5,0.5
53,500,0.0,7.5,0.015,2.5,2.0,1.5,1.5
54,500,0.0,9.0,0.018,3.5,1.0,0.5,4.0
55,500,0.0,6.5,0.013,0.5,0.5,1.5,4.0
56,500,0.0,8.0,0.016,1.5,2.0,2.0,2.5
57,500,0.0,9.0,0.018,4.0,1.0,2.5,1.5
58,500,0.0,7.0,0.014,1.5,1.0,1.5,3.0
59,500,0.0,4.5,0.009,1.5,1.0,1.0,1.0
60,500,0.0,11.5,0.023,1.5,2.0,3.0,5.0
61,500,0.0,7.0,0.014,4.0,0.5,1.5,1.0
62,500,0.0,12.5,0.025,0.5,3.0,0.5,8.5
63,500,0.0,10.5,0.021,3.0,2.0,0.5,5.0
64,500,0.0,5.5,0.011,1.5,1.0,0.5,2.5
65,500,0.0,5.5,0.011,3.5,0.5,1.0,0.5
66,500,0.0,9.5,0.019,2.0,4.0,2.0,1.5
67,500,0.0,6.0,0.012,1.0,1.5,1.0,2.5
68,500,0.0,6.0,0.012,1.5,1.0,0.5,3.0
69,500,0.0,8.5,0.017,3.0,0.5,2.5,2.5
70,500,0.0,9.5,0.019,5.5,0.5,0.5,3.0
71,500,0.0,11.5,0.023,0.5,2.0,4.5,4.5
72,500,0.0,5.5,0.011,1.5,1.5,0.5,2.0
73,500,0.0,11.0,0.022,1.5,1.0,4.0,4.5
74,500,0.0,8.5,0.017,2.5,2.0,1.5,2.5
75,500,0.0,8.0,0.016,3.0,2.0,2.0,1.0
76,500,0.0,7.0,0.014,3.0,2.5,1.0,0.5
77,500,0.0,5.5,0.011,0.5,4.0,0.5,0.5
78,500,0.0,8.5,0.017,3.0,2.5,2.0,1.0
79,500,0.0,4.5,0.009,1.5,0.5,1.0,1.5
80,500,0.0,10.0,0.02,3.5,1.0,3.0,2.5
81,500,0.0,10.5,0.021,1.5,2.0,3.5,3.5
82,500,0.0,10.5,0.021,5.5,3.0,1.0,1.0
83,500,0.0,4.0,0.008,1.0,1.5,1.0,0.5
84,500,0.0,10.5,0.021,1.5,4.5,1.0,3.5
85,500,0.0,8.5,0.017,2.5,1.0,2.5,2.5
86,500,0.0,8.0,0.016,2.0,0.5,3.0,2.5
87,500,0.0,7.0,0.014,2.0,0.5,2.0,2.5
88,500,0.0,8.0,0.016,3.5,1.5,1.5,1.5
89,500,0.0,13.0,0.026,4.0,2.5,5.0,1.5
90,500,0.0,12.5,0.025,0.5,3.5,4.0,4.5
91,500,0.0,9.0,0.018,1.5,4.5,1.0,2.0
92,500,0.0,10.0,0.02,2.5,4.0,3.0,0.5
93,500,0.0,9.0,0.018,4.0,1.0,0.5,3.5
94,500,0.0,7.0,0.014,1.0,3.0,0.5,2.5
95,500,0.0,5.0,0.01,2.0,1.5,1.0,0.5
96,500,0.0,7.5,0.015,4.0,1.5,0.5,1.5
97,500,0.0,11.5,0.023,2.0,2.5,0.5,6.5
98,500,0.0,15.0,0.03,1.0,3.0,6.5,4.5
99,500,0.0,9.5,0.019,2.0,2.0,5.0,0.5
100,500,0.0,10.0,0.02,3.0,1.5,1.5,4.0
101,500,0.0,7.5,0.015,0.5,3.5,3.0,0.5
102,500,0.0,5.0,0.01,1.0,0.5,3.0,0.5
103,500,0.0,9.5,0.019,3.0,4.0,1.0,1.5
104,500,0.0,6.5,0.013,2.0,1.5,1.0,2.0
105,500,0.0,10.0,0.02,2.5,1.5,2.0,4.0
106,500,0.0,7.5,0.015,2.0,1.0,2.0,2.5
107,500,0.0,11.0,0.022,0.5,0.5,6.0,4.0
108,500,0.0,9.0,0.018,4.0,2.0,2.0,1.0
109,500,0.0,4.5,0.009,0.5,1.5,2.0,0.5
110,500,0.0,9.0,0.018,1.5,2.0,2.5,3.0
111,500,0.0,10.5,0.021,3.0,2.5,3.5,1.5
112,500,0.0,8.5,0.017,1.5,3.0,0.5,3.5
113,500,0.0,9.0,0.018,1.5,4.5,1.5,1.5
114,500,0.0,6.0,0.012,0.5,0.5,4.5,0.5
115,500,0.0,7.5,0.015,1.0,3.0,2.0,1.5
116,500,0.0,9.5,0.019,1.0,3.5,0.5,4.5
117,500,0.0,7.0,0.014,0.5,1.0,2.5,3.0
118,500,0.0,6.5,0.013,1.5,3.5,0.5,1.0
119,500,0.0,8.0,0.016,1.5,0.5,3.5,2.5
120,500,0.0,5.0,0.01,2.5,1.5,0.5,0.5
121,500,0.0,8.0,0.016,2.0,3.0,0.5,2.5
122,500,0.0,10.0,0.02,3.0,2.5,0.5,4.0
123,500,0.0,9.0,0.018,3.0,2.0,3.0,1.0
124,500,0.0,5.5,0.011,1.0,2.0,1.5,1.0
125,500,0.0,12.0,0.024,2.0,2.0,4.0,4.0
126,500,0.0,5.0,0.01,1.0,0.5,3.0,0.5
