episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
0,500,0.0,-7.945,-0.01589,-6.775,-1.17
1,500,0.0,-13.02,-0.02604,-8.145,-4.875
2,500,0.0,-10.27,-0.02054,-4.15,-6.12
3,500,0.0,-10.8,-0.0216,-8.125,-2.675
4,500,0.0,-6.405,-0.01281,-2.0,-4.405
5,500,0.0,-5.525,-0.01105,-0.8,-4.725
6,500,0.0,-4.56,-0.00912,-0.05,-4.51
7,500,0.0,-3.535,-0.00707,-0.105,-3.43
8,500,0.0,0.35,0.0007,-0.15,0.5
9,500,0.0,0.225,0.00045,-0.225,0.45
10,500,0.0,-3.4,-0.0068,-3.1,-0.3
11,500,0.0,-1.225,-0.00245,0.425,-1.65
12,500,0.0,-5.35,-0.0107,-5.3,-0.05
13,500,0.0,0.475,0.00095,0.16,0.315
14,500,0.0,-1.325,-0.00265,-0.6,-0.725
15,500,0.0,0.47,0.00094,0.35,0.12
16,500,0.0,-1.05,-0.0021,-0.05,-1.0
17,500,0.0,-5.115,-0.01023,-0.74,-4.375
18,500,0.0,0.175,0.00035,-0.65,0.825
19,500,0.0,-1.5,-0.003,-0.55,-0.95
20,500,0.0,0.7,0.0014,0.375,0.325
21,500,0.0,-0.295,-0.00059,-0.0,-0.295
22,500,0.0,-0.15,-0.0003,-0.1,-0.05
23,500,0.0,0.3,0.0006,-0.175,0.475
24,500,0.0,-1.805,-0.00361,-0.6,-1.205
25,500,0.0,-1.7,-0.0034,-1.225,-0.475
26,500,0.0,-4.41,-0.00882,-3.26,-1.15
27,500,0.0,-1.35,-0.0027,-1.05,-0.3
28,500,0.0,0.4,0.0008,0.2,0.2
29,500,0.0,-4.625,-0.00925,0.05,-4.675
30,500,0.0,-1.425,-0.00285,0.15,-1.575
31,500,0.0,-1.25,-0.0025,0.05,-1.3
32,500,0.0,-0.8,-0.0016,-0.45,-0.35
33,500,0.0,-0.2,-0.0004,0.475,-0.675
34,500,0.0,-2.5,-0.005,-1.925,-0.575
35,500,0.0,-3.25,-0.0065,-2.025,-1.225
36,500,0.0,-1.42,-0.00284,-1.22,-0.2
37,500,0.0,-0.4,-0.0008,0.175,-0.575
38,500,0.0,0.125,0.00025,0.125,-0.0
39,500,0.0,-4.325,-0.00865,-3.725,-0.6
40,500,0.0,-1.59,-0.00318,-0.925,-0.665
41,500,0.0,0.275,0.00055,0.225,0.05
42,500,0.0,0.175,0.00035,-0.25,0.425
43,500,0.0,-1.15,-0.0023,-0.7,-0.45
44,500,0.0,-0.895,-0.00179,0.05,-0.945
45,500,0.0,0.235,0.00047,0.26,-0.025
46,500,0.0,0.15,0.0003,0.2,-0.05
47,500,0.0,0.625,0.00125,0.475,0.15
48,500,0.0,-0.19,-0.00038,-0.34,0.15
49,500,0.0,-0.7,-0.0014,-0.95,0.25
50,500,0.0,-1.4,-0.0028,-0.75,-0.65
51,500,0.0,-2.17,-0.00434,-0.845,-1.325
52,500,0.0,-2.125,-0.00425,-0.0,-2.125
53,500,0.0,-0.9,-0.0018,-0.9,-0.0
54,500,0.0,-0.575,-0.00115,-0.95,0.375
55,500,0.0,-3.0,-0.006,-1.875,-1.125
56,500,0.0,-0.05,-0.0001,0.05,-0.1
57,500,0.0,-0.125,-0.00025,-0.3,0.175
58,500,0.0,-1.165,-0.00233,-1.365,0.2
59,500,0.0,-1.175,-0.00235,-1.075,-0.1
60,500,0.0,0.225,0.00045,0.175,0.05
61,500,0.0,-3.525,-0.00705,-0.95,-2.575
62,500,0.0,-0.525,-0.00105,0.15,-0.675
63,500,0.0,-1.0,-0.002,0.2,-1.2
64,500,0.0,0.91,0.00182,0.71,0.2
65,500,0.0,-3.485,-0.00697,-0.86,-2.625
66,500,0.0,-2.46,-0.00492,-0.4,-2.06
67,500,0.0,0.405,0.00081,0.15,0.255
68,500,0.0,0.375,0.00075,0.075,0.3
69,500,0.0,-3.325,-0.00665,-3.075,-0.25
70,500,0.0,-0.41,-0.00082,0.425,-0.835
71,500,0.0,-0.77,-0.00154,0.525,-1.295
72,500,0.0,-0.175,-0.00035,-0.025,-0.15
73,500,0.0,-0.84,-0.00168,-0.0,-0.84
74,500,0.0,0.385,0.00077,0.835,-0.45
75,500,0.0,0.225,0.00045,0.125,0.1
76,500,0.0,-0.825,-0.00165,-0.05,-0.775
77,500,0.0,-1.6,-0.0032,0.325,-1.925
78,500,0.0,-0.15,-0.0003,0.15,-0.3
79,500,0.0,-3.235,-0.00647,-1.91,-1.325
80,500,0.0,-1.085,-0.00217,0.225,-1.31
81,500,0.0,0.1,0.0002,-0.0,0.1
82,500,0.0,-2.6,-0.0052,-1.775,-0.825
83,500,0.0,-0.05,-0.0001,0.325,-0.375
84,500,0.0,-0.375,-0.00075,-0.425,0.05
85,500,0.0,-0.175,-0.00035,0.375,-0.55
86,500,0.0,-2.725,-0.00545,-0.475,-2.25
87,500,0.0,7.555,0.01511,4.205,3.35
88,500,0.0,-0.475,-0.00095,0.125,-0.6
89,500,0.0,1.1,0.0022,0.35,0.75
90,500,0.0,-1.155,-0.00231,-0.13,-1.025
91,500,0.0,0.745,0.00149,0.55,0.195
92,500,0.0,0.15,0.0003,0.1,0.05
93,500,0.0,3.74,0.00748,-0.21,3.95
94,500,0.0,0.47,0.00094,0.02,0.45
95,500,0.0,0.225,0.00045,0.55,-0.325
96,500,0.0,0.78,0.00156,0.58,0.2
97,500,0.0,0.345,0.00069,-0.28,0.625
98,500,0.0,0.29,0.00058,0.44,-0.15
99,500,0.0,-1.5,-0.003,0.175,-1.675
100,500,0.0,-1.765,-0.00353,-0.625,-1.14
101,500,0.0,-1.15,-0.0023,-1.275,0.125
102,500,0.0,0.985,0.00197,0.485,0.5
103,500,0.0,-3.875,-0.00775,-1.25,-2.625
104,500,0.0,-6.6,-0.0132,-5.575,-1.025
105,500,0.0,-4.58,-0.00916,-3.2,-1.38
106,500,0.0,-1.95,-0.0039,-0.125,-1.825
107,500,0.0,-1.135,-0.00227,-0.085,-1.05
108,500,0.0,-1.12,-0.00224,-0.225,-0.895
109,500,0.0,-0.31,-0.00062,-0.06,-0.25
110,500,0.0,-3.05,-0.0061,-2.5,-0.55
111,500,0.0,-0.465,-0.00093,-0.65,0.185
112,500,0.0,-0.27,-0.00054,-0.495,0.225
113,500,0.0,0.5,0.001,0.05,0.45
114,500,0.0,-1.05,-0.0021,-0.625,-0.425
115,500,0.0,-0.025,-5e-05,-0.575,0.55
116,500,0.0,-0.0,-0.0,-0.55,0.55
117,500,0.0,0.45,0.0009,0.05,0.4
118,500,0.0,0.2,0.0004,0.15,0.05
119,500,0.0,0.365,0.00073,0.475,-0.11
120,500,0.0,0.64,0.00128,0.05,0.59
121,500,0.0,0.25,0.0005,-0.025,0.275
122,500,0.0,-0.625,-0.00125,-0.15,-0.475
123,500,0.0,0.85,0.0017,0.2,0.65
124,500,0.0,-1.0,-0.002,-0.225,-0.775
125,500,0.0,0.7,0.0014,0.075,0.625
126,500,0.0,0.325,0.00065,-0.1,0.425
127,500,0.0,-1.575,-0.00315,-1.6,0.025
128,500,0.0,0.39,0.00078,-0.335,0.725
129,500,0.0,0.55,0.0011,-0.35,0.9
130,500,0.0,0.965,0.00193,0.59,0.375
131,500,0.0,1.18,0.00236,0.65,0.53
132,500,0.0,-2.645,-0.00529,-1.495,-1.15
133,500,0.0,-0.065,-0.00013,-0.365,0.3
134,500,0.0,0.225,0.00045,0.35,-0.125
135,500,0.0,0.555,0.00111,0.325,0.23
136,500,0.0,0.69,0.00138,0.45,0.24
137,500,0.0,-2.5,-0.005,-0.9,-1.6
138,500,0.0,-0.345,-0.00069,-0.22,-0.125
139,500,0.0,-0.625,-0.00125,-0.2,-0.425
140,500,0.0,-1.59,-0.00318,-0.065,-1.525
141,500,0.0,-1.56,-0.00312,-0.45,-1.11
142,500,0.0,0.675,0.00135,0.4,0.275
143,500,0.0,-0.525,-0.00105,0.3,-0.825
144,500,0.0,-0.375,-0.00075,-0.6,0.225
145,500,0.0,-3.695,-0.00739,-1.82,-1.875
146,500,0.0,0.255,0.00051,0.23,0.025
147,500,0.0,-1.225,-0.00245,-0.975,-0.25
148,500,0.0,-0.495,-0.00099,-0.895,0.4
149,500,0.0,-0.175,-0.00035,-0.175,-0.0
150,500,0.0,1.425,0.00285,0.725,0.7
151,500,0.0,-2.275,-0.00455,-0.25,-2.025
152,500,0.0,-1.075,-0.00215,0.8,-1.875
153,500,0.0,-0.805,-0.00161,0.25,-1.055
154,500,0.0,0.7,0.0014,0.225,0.475
155,500,0.0,0.75,0.0015,0.55,0.2
156,500,0.0,2.455,0.00491,3.14,-0.685
157,500,0.0,-0.025,-5e-05,-0.3,0.275
158,500,0.0,0.39,0.00078,0.915,-0.525
159,500,0.0,0.415,0.00083,0.025,0.39
160,500,0.0,-4.525,-0.00905,-4.4,-0.125
161,500,0.0,4.23,0.00846,3.88,0.35
162,500,0.0,0.525,0.00105,0.2,0.325
163,500,0.0,0.5,0.001,0.375,0.125
164,500,0.0,0.19,0.00038,0.3,-0.11
165,500,0.0,-0.84,-0.00168,0.21,-1.05
166,500,0.0,4.035,0.00807,3.585,0.45
167,500,0.0,-1.445,-0.00289,-0.595,-0.85
168,500,0.0,0.785,0.00157,0.36,0.425
169,500,0.0,0.625,0.00125,0.225,0.4
170,500,0.0,-1.185,-0.00237,-0.775,-0.41
