episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
0,500,0.0,-23.21,-0.04642,-0.22,-9.235,-4.655,-9.1
1,500,0.0,-50.575,-0.10115,-17.285,-11.82,-12.73,-8.74
2,500,0.0,-21.405,-0.04281,-3.255,-5.785,-6.93,-5.435
3,500,0.0,-16.235,-0.03247,-7.61,-3.585,-4.85,-0.19
4,500,0.0,-14.71,-0.02942,-2.49,-3.98,-1.975,-6.265
5,500,0.0,-15.38,-0.03076,-7.395,-3.05,-1.665,-3.27
6,500,0.0,-14.5,-0.029,-1.075,-2.955,-6.68,-3.79
7,500,0.0,-21.76,-0.04352,-4.29,-6.61,-4.555,-6.305
8,500,0.0,-5.915,-0.01183,-1.11,-0.435,-2.51,-1.86
9,500,0.0,-11.735,-0.02347,-3.06,-0.35,-6.75,-1.575
10,500,0.0,-13.06,-0.02612,-0.425,-3.845,-7.85,-0.94
11,500,0.0,-13.515,-0.02703,-4.69,-3.34,-2.46,-3.025
12,500,0.0,-10.675,-0.02135,-1.84,-1.735,-1.765,-5.335
13,500,0.0,-8.395,-0.01679,-0.26,-0.425,-0.91,-6.8
14,500,0.0,-5.065,-0.01013,-0.87,-3.735,-0.21,-0.25
15,500,0.0,-6.885,-0.01377,-5.395,-0.245,-0.275,-0.97
16,500,0.0,-10.605,-0.02121,-3.875,-5.31,-1.005,-0.415
17,500,0.0,-4.425,-0.00885,-3.3,-0.325,-0.54,-0.26
18,500,0.0,-7.31,-0.01462,-1.805,-0.39,-0.54,-4.575
19,500,0.0,-3.9,-0.0078,-0.27,-0.215,-0.29,-3.125
20,500,0.0,-8.21,-0.01642,-1.035,-0.97,-3.805,-2.4
21,500,0.0,-5.05,-0.0101,-0.405,-1.085,-1.76,-1.8
22,500,0.0,-2.885,-0.00577,-0.38,-1.54,-0.305,-0.66
23,500,0.0,-1.855,-0.00371,-1.05,-0.255,-0.205,-0.345
24,500,0.0,-3.53,-0.00706,-1.725,-0.315,-0.34,-1.15
25,500,0.0,-3.2,-0.0064,-0.245,-2.32,-0.32,-0.315
26,500,0.0,-4.06,-0.00812,-0.28,-2.415,-1.07,-0.295
27,500,0.0,-2.705,-0.00541,-0.39,-1.065,-0.315,-0.935
28,500,0.0,-4.555,-0.00911,-1.85,-0.45,-0.335,-1.92
29,500,0.0,-2.185,-0.00437,-1.02,-0.435,-0.405,-0.325
30,500,0.0,0.295,0.00059,-0.885,-0.43,2.02,-0.41
31,500,0.0,-2.4,-0.0048,-0.715,-0.425,-0.315,-0.945
32,500,0.0,-5.05,-0.0101,-3.88,-0.415,-0.31,-0.445
