Episode,Reward,Deliveries
0,-19.274999999999988,16
1,-0.6750000000000164,27
2,-9.725000000000044,23
3,-15.750000000000032,16
4,-12.825000000000024,22
5,-18.349999999999962,14
6,-20.349999999999984,13
7,-14.400000000000032,19
8,-15.025000000000022,10
9,-13.450000000000035,19
10,-19.77499999999998,15
11,-16.725000000000033,16
12,-24.949999999999907,10
13,-25.174999999999965,11
14,-15.700000000000017,25
15,3.5999999999999783,32
16,-16.87499999999995,17
17,-4.875000000000022,16
18,-15.550000000000018,17
19,-15.750000000000034,16
20,-16.425000000000008,16
21,-14.55000000000002,22
22,-23.5499999999999,9
23,-22.499999999999915,11
24,-20.14999999999997,14
25,-22.250000000000018,13
26,-21.07499999999998,14
27,-17.974999999999973,14
28,-10.100000000000026,24
29,-24.124999999999943,8
30,-16.550000000000008,15
31,-13.775000000000036,19
32,-15.750000000000027,17
33,-8.925000000000024,18
34,-1.5000000000000404,22
35,-23.774999999999917,10
36,-9.800000000000034,19
37,-21.04999999999994,16
38,-20.89999999999993,13
39,-25.37499999999993,9
40,-5.325000000000026,23
41,-21.599999999999948,13
42,-10.550000000000022,24
43,-18.025,14
44,13.475000000000012,38
45,-13.125000000000007,22
46,-22.02499999999995,11
47,-0.47500000000004805,24
48,-20.199999999999914,21
49,-7.725000000000049,22
50,-22.874999999999932,10
51,-29.574999999999893,11
52,-22.724999999999934,11
53,-5.675000000000039,28
54,-21.04999999999992,13
55,-16.125000000000014,22
56,-20.674999999999986,17
57,-8.475000000000025,25
58,-25.074999999999925,8
59,-17.45,13
60,-12.400000000000025,25
61,-16.70000000000002,16
62,-21.774999999999963,10
63,-9.825000000000033,22
64,-25.82499999999989,9
65,-22.34999999999996,11
66,-15.90000000000003,18
67,-15.100000000000017,20
68,-11.400000000000025,21
69,-17.500000000000004,14
70,-3.07500000000003,25
71,-19.599999999999984,14
72,-13.50000000000007,21
73,-19.10000000000001,25
74,-20.27499999999996,15
75,-20.39999999999997,7
76,-21.174999999999923,17
77,-2.4000000000000306,27
78,-8.700000000000049,23
79,-4.750000000000029,28
80,-18.174999999999983,15
81,-29.499999999999858,9
82,-17.77499999999999,13
83,-24.5249999999999,8
84,-16.175000000000008,19
85,-22.99999999999997,12
86,-27.774999999999903,7
87,-7.850000000000028,24
88,-18.00000000000001,13
89,-21.249999999999993,11
90,-14.800000000000017,17
91,-14.200000000000045,13
92,-16.900000000000016,15
93,-22.199999999999996,13
94,-8.100000000000017,21
95,-7.700000000000034,21
