Episode,Reward,Deliveries
0,-24.429999999999893,6
1,5.509999999999944,22
2,-11.980000000000059,12
3,-21.51999999999996,8
4,0.8899999999999784,19
5,22.600000000000325,31
6,-1.0700000000000576,18
7,-14.93000000000004,12
8,-10.50000000000003,13
9,-11.710000000000065,12
10,-2.040000000000068,18
11,-7.820000000000054,14
12,12.02000000000018,25
13,-8.140000000000033,14
14,-9.46000000000002,14
15,4.369999999999933,21
16,-9.360000000000051,13
17,1.2199999999999838,19
18,-1.9800000000000333,18
19,25.680000000000298,33
20,-8.08000000000002,15
21,-2.650000000000044,18
22,5.859999999999939,22
23,-3.8700000000000334,16
24,-6.610000000000043,15
25,-9.840000000000028,13
26,0.4999999999999546,19
27,-16.14000000000006,10
28,4.389999999999961,21
29,-10.660000000000029,13
30,-0.7300000000000196,18
31,-0.21000000000000635,19
32,26.620000000000413,33
33,1.5100000000000569,20
34,-21.71999999999998,6
35,46.680000000000405,44
36,-7.510000000000033,15
37,-1.6599999999999784,18
38,6.649999999999974,23
39,-18.85999999999997,9
40,-12.580000000000057,12
41,26.00000000000034,28
42,4.34999999999998,16
43,10.219999999999954,25
44,-2.6700000000000728,18
45,26.030000000000076,29
46,17.259999999999984,28
47,-6.750000000000056,15
48,2.3799999999999617,20
49,-13.660000000000046,11
50,-11.490000000000029,13
51,17.519999999999996,27
52,23.990000000000105,32
53,7.0199999999999605,18
54,-0.40000000000000924,20
55,-2.9199999999999595,17
56,1.1999999999999482,19
57,13.540000000000019,22
58,2.1199999999999855,20
59,-16.160000000000036,10
60,-22.379999999999924,7
61,-2.640000000000021,17
62,16.110000000000138,26
63,-3.36000000000004,16
64,4.450000000000066,20
65,-12.390000000000041,12
66,-12.600000000000055,12
67,-2.5700000000000287,17
68,-15.890000000000043,11
69,-10.180000000000039,13
70,5.339999999999966,21
71,-1.9100000000000037,18
72,-5.710000000000046,15
73,-3.800000000000032,17
74,-6.290000000000037,16
75,-7.340000000000049,15
76,15.979999999999928,28
77,8.579999999999933,24
78,-5.130000000000035,17
79,-7.400000000000033,16
80,-7.28000000000002,14
81,-10.130000000000043,14
82,-19.65999999999998,8
83,6.419999999999966,17
84,17.09999999999995,28
85,-8.550000000000024,14
