Episode,Reward,Deliveries
0,179.20000000000127,2
1,211.2999999999997,7
2,575.2000000000006,41
3,108.89999999999912,6
4,286.2,3
5,198.19999999999717,4
6,299.8999999999994,4
7,188.40000000000148,3
8,367.1000000000015,8
9,190.80000000000152,3
10,301.0000000000001,5
11,256.89999999999935,7
12,180.2000000000013,2
13,271.2000000000001,5
14,314.60000000000025,7
15,1064.1000000000013,85
16,185.99999999999895,13
17,188.09999999999738,3
18,205.7000000000007,10
19,-14.399999999999874,2
20,200.60000000000176,4
21,127.69999999999884,6
22,94.49999999999953,3
23,297.7000000000002,4
24,162.100000000001,9
25,204.8999999999972,5
26,397.49999999999943,5
27,302.20000000000033,4
28,202.89999999999705,4
29,191.00000000000153,3
30,602.100000000002,51
31,194.09999999999945,5
32,647.7000000000008,57
33,175.40000000000117,2
34,92.49999999999963,3
35,139.29999999999995,4
36,556.9000000000005,49
37,200.0999999999972,5
38,240.89999999999952,6
39,201.29999999999725,5
40,293.00000000000006,4
41,94.09999999999954,5
42,269.6999999999971,10
43,82.79999999999981,2
44,968.200000000002,85
45,457.6000000000002,27
46,392.2000000000049,4
47,81.59999999999984,2
48,142.50000000000003,4
49,276.6999999999997,4
50,176.49999999999764,2
51,93.29999999999959,3
52,210.8999999999969,5
53,269.6999999999991,3
54,168.79999999999944,2
55,81.29999999999984,2
56,298.5000000000002,4
57,165.29999999999953,4
58,172.09999999999772,2
59,84.09999999999988,3
60,81.59999999999984,2
61,683.7000000000028,45
62,854.500000000005,67
63,178.20000000000127,2
64,199.3,8
65,305.50000000000006,6
66,157.59999999999948,3
67,213.20000000000203,5
68,270.9000000000003,22
69,287.7,3
70,240.8000000000025,8
71,195.6999999999972,3
72,240.40000000000012,18
73,175.99999999999955,5
74,179.00000000000128,2
75,201.00000000000176,4
76,308.5000000000004,5
77,525.0000000000007,41
78,297.3000000000002,4
79,281.79999999999876,9
80,277.3999999999988,5
81,70.50000000000003,1
82,394.79999999999944,5
83,273.59999999999997,4
84,199.4000000000017,4
85,279.6999999999991,5
86,181.80000000000132,3
87,-27.999999999999762,1
88,307.0000000000004,5
89,965.2000000000031,80
90,180.9,9
91,274.0999999999987,5
92,295.1999999999993,4
93,101.59999999999938,4
94,180.89999999999756,2
95,233.1999999999982,24
96,201.8000000000012,3
97,218.4999999999983,3
98,-37.19999999999956,0
99,261.6999999999998,3
100,178.4999999999976,2
101,287.1999999999992,4
102,157.99999999999852,5
103,160.49999999999906,3
104,269.3999999999997,7
105,371.7000000000006,8
106,391.4000000000016,11
107,165.6999999999995,4
108,163.39999999999907,3
109,6.500000000000599,4
110,960.9000000000073,81
111,208.49999999999693,5
112,263.29999999999944,7
113,200.49999999999952,4
114,265.3,4
115,142.20000000000013,3
116,94.09999999999958,3
117,184.099999999999,5
118,382.700000000002,4
119,193.29999999999728,4
120,212.60000000000204,5
121,1000.4000000000025,83
122,287.8,7
123,82.49999999999984,2
124,307.99999999999955,5
125,190.00000000000028,9
126,155.69999999999854,5
127,292.8000000000002,6
128,593.3000000000011,51
129,628.9000000000007,51
130,-14.799999999999867,2
131,77.99999999999999,5
132,103.1999999999993,4
133,207.699999999997,5
134,112.49999999999905,5
135,180.59999999999962,5
136,262.3999999999982,27
137,880.5000000000011,81
138,176.60000000000122,2
139,184.79999999999973,6
140,512.8000000000002,40
141,297.30000000000024,4
142,265.99999999999943,8
143,304.1000000000003,5
144,68.90000000000006,1
145,181.69999999999905,5
146,405.8000000000054,5
147,288.2,3
148,249.59999999999945,6
149,392.4000000000013,11
150,60.00000000000075,9
151,256.09999999999945,7
152,9.200000000000633,4
153,369.29999999999984,5
154,271.2999999999971,10
155,40.40000000000076,7
156,276.1999999999994,9
157,197.9999999999972,4
158,289.40000000000003,4
159,356.9000000000011,7
160,94.09999999999957,3
161,254.5999999999999,3
162,249.89999999999944,6
163,68.80000000000007,1
164,847.800000000001,78
165,181.00000000000128,3
166,80.39999999999986,2
167,269.2999999999996,9
168,254.89999999999947,7
169,365.3000000000017,5
170,339.00000000000034,4
171,72.1,1
172,296.29999999999933,4
173,157.2999999999995,3
174,352.49999999999903,15
175,121.19999999999888,2
176,136.89999999999924,6
177,188.09999999999738,3
178,116.39999999999992,11
179,368.10000000000036,28
180,373.4999999999999,5
181,380.3999999999999,27
182,179.40000000000128,3
183,387.4999999999995,4
184,217.29999999999987,8
185,81.19999999999985,2
186,174.39999999999958,5
187,447.400000000002,16
188,103.29999999999932,4
189,300.60000000000025,4
190,241.69999999999794,4
191,82.89999999999984,2
192,188.60000000000147,3
193,180.3999999999995,4
194,212.600000000002,5
195,264.4,4
196,276.49999999999966,3
197,283.19999999999965,10
198,225.7000000000008,8
199,291.4,4
200,241.79999999999941,6
201,309.7000000000002,6
202,206.20000000000184,5
203,304.4999999999996,12
204,160.3999999999997,9
205,212.99999999999957,3
206,185.39999999999898,5
207,161.29999999999953,3
208,264.8999999999986,4
209,92.39999999999964,3
210,190.09999999999732,3
211,161.2999999999996,7
212,176.4000000000012,2
213,417.8000000000059,7
214,113.999999999999,5
215,200.20000000000175,4
216,307.3000000000004,5
217,299.00000000000006,5
218,1073.8000000000006,82
219,101.19999999999936,6
220,72.00000000000026,4
221,306.89999999999947,31
222,8.000000000000618,4
223,68.80000000000007,1
224,409.29999999999944,6
225,343.0000000000007,17
226,189.0000000000015,3
227,192.89999999999728,3
228,146.89999999999998,8
229,91.99999999999966,3
230,197.29999999999717,4
231,92.09999999999964,3
232,199.69999999999715,4
233,266.7999999999997,4
234,-36.79999999999957,0
235,92.49999999999963,3
236,164.99999999999952,4
237,179.69999999999987,11
238,297.40000000000015,5
239,194.00000000000162,4
240,183.20000000000135,3
241,86.4999999999998,4
242,187.19999999999948,4
243,287.0,3
244,575.5000000000006,50
245,259.3999999999992,6
246,174.60000000000005,4
247,274.49999999999943,9
248,306.29999999999956,5
249,230.20000000000073,3
250,195.30000000000027,6
251,149.40000000000032,4
252,157.19999999999948,3
253,78.40000000000003,5
254,132.39999999999978,3
255,50.00000000000044,3
256,209.20000000000195,5
257,162.49999999999906,3
258,187.60000000000147,3
259,70.10000000000004,1
260,179.2999999999976,2
261,93.99999999999959,3
262,64.80000000000034,2
263,130.69999999999897,7
264,180.09999999999886,7
265,84.39999999999985,7
266,163.29999999999947,4
267,883.2000000000015,81
268,196.80000000000166,4
269,260.80000000000024,5
270,72.0,1
271,74.0000000000002,4
272,-13.999999999999917,2
273,188.40000000000148,3
274,242.99999999999926,4
275,191.2999999999973,3
276,200.49999999999713,4
277,284.0999999999999,4
278,977.3000000000054,84
279,189.29999999999737,3
280,101.99999999999936,4
281,92.39999999999962,3
282,95.99999999999953,3
283,371.3000000000003,29
284,92.49999999999963,3
285,268.8999999999998,4
286,130.49999999999972,3
287,190.09999999999735,3
288,65.30000000000052,3
289,678.3999999999992,45
290,200.4999999999972,4
291,46.90000000000036,2
292,218.89999999999827,2
293,202.49999999999926,9
294,192.89999999999728,3
295,276.49999999999875,5
296,178.0999999999976,2
297,301.5999999999995,5
298,187.2999999999974,3
299,404.6999999999994,5
